timestamps,TP9,AF7,AF8,TP10,Right AUX
1748874954.153,-1000.000,-1000.000,-1000.000,-995.605,0.000
1748874954.157,-200.684,-183.594,-191.895,-948.730,0.000
1748874954.161,-948.242,-978.516,-995.117,-79.590,0.000
1748874954.164,905.273,999.023,-951.172,-1000.000,0.000
1748874954.168,-400.879,-226.562,-30.762,-200.195,0.000
1748874954.172,-1000.000,-1000.000,-1000.000,983.398,0.000
1748874954.176,-173.340,-209.473,-465.820,-919.434,0.000
1748874954.180,-993.652,985.840,870.605,131.836,0.000
1748874954.184,-963.379,-936.035,-884.766,-1000.000,0.000
1748874954.188,-95.215,7.324,88.379,-383.789,0.000
1748874954.192,-1000.000,-1000.000,-1000.000,923.828,0.000
1748874954.196,-364.258,-400.879,-610.352,-892.090,0.000
1748874954.200,916.504,898.438,766.113,221.680,0.000
1748874954.204,-896.973,-883.301,-848.145,-1000.000,0.000
1748874954.207,119.629,218.262,167.969,-566.895,0.000
1748874954.211,-1000.000,-1000.000,-1000.000,834.961,0.000
1748874954.215,-565.430,-576.172,-785.645,-858.887,0.000
1748874954.219,818.359,826.172,573.242,187.500,0.000
1748874954.223,-854.004,-857.910,-808.105,-1000.000,0.000
1748874954.227,186.523,195.312,216.797,-840.332,0.000
1748874954.231,-1000.000,-1000.000,-1000.000,505.859,0.000
1748874954.235,-844.727,-754.883,-946.289,-793.945,0.000
1748874954.239,510.254,619.141,340.332,230.469,0.000
1748874954.243,-795.898,-815.918,-777.832,-1000.000,0.000
1748874954.246,149.414,239.258,263.672,-1000.000,0.000
1748874954.250,-1000.000,-1000.000,-970.703,149.902,0.000
1748874954.254,-1000.000,-919.922,-1000.000,-766.602,0.000
1748874954.258,154.297,386.719,-91.797,381.348,0.000
1748874954.262,-759.766,-790.527,-804.688,-930.176,0.000
1748874954.266,139.160,421.387,378.906,-1000.000,0.000
1748874954.270,-1000.000,-926.758,-932.617,-26.855,0.000
1748874954.274,-1000.000,-1000.000,-1000.000,-805.176,0.000
1748874954.278,-60.547,142.090,-206.055,539.551,0.000
1748874954.282,-780.762,-808.594,-897.949,-828.613,0.000
